,id,release_date,movie,production_budget,domestic_gross,genres,tconst,runtime
4616,17,2011-06-10,Trolljegeren,3500000,253444,,,
4617,18,2007-09-14,Ira and Abby,3500000,221096,,,
4618,19,2016-01-08,The Masked Saint,3500000,182695,"Action,Biography,Crime",tt3103166,105.0
4619,20,2006-02-17,Winter Passing,3500000,107492,,,
4620,21,2005-03-25,D.E.B.S.,3500000,96793,,,
4621,22,2016-06-03,Time to Choose,3500000,29233,Documentary,tt5001130,100.0
4622,23,2009-06-26,Surveillance,3500000,27349,,,
4623,24,1999-09-17,Taxman,3500000,9871,,,
4624,25,2011-12-31,The Kick,3500000,0,"Action,Sport",tt2020110,94.0
4625,26,2009-06-30,The Betrayed,3500000,0,,,
4626,27,2006-10-01,The Secret,3500000,0,Documentary,tt3596332,89.0
4627,28,2011-06-28,2:13,3500000,0,,,
4628,29,2013-01-29,"Batman: The Dark Knight Returns, Part 2",3500000,0,,,
4629,30,2014-03-11,In the Name of the King III,3500000,0,,,
4630,31,2014-03-04,Wicked Blood,3500000,0,,,
4631,32,2015-06-05,Dawn Patrol,3500000,0,"Drama,Thriller",tt2073661,88.0
4632,33,2013-05-17,Jagten,3450000,687185,,,
4633,34,2015-09-01,Lords of London,3440000,0,"Crime,Mystery,Thriller",tt1800337,90.0
4634,35,2005-06-24,La marche de l'empereur,3400000,77437223,,,
4635,36,1977-12-23,High Anxiety,3400000,31063038,,,
4636,37,2011-10-21,Margin Call,3400000,5353586,"Drama,Thriller",tt1615147,107.0
4637,38,2008-09-26,Choke,3400000,2926565,"Action,Drama,Romance",tt1893211,122.0
4638,39,2004-04-23,L\'incomparable mademoiselle C.,3400000,493905,,,
4639,40,2008-07-11,August,3400000,12636,"Drama,Romance",tt1753460,99.0
4640,41,2015-03-03,To Write Love On Her Arms,3400000,0,,,
4641,42,1956-02-16,Carousel,3380000,0,,,
4642,43,2014-10-10,Whiplash,3300000,13092006,"Drama,Music",tt2582802,106.0
4643,44,2007-10-26,Bella,3300000,8093373,"Drama,Family",tt4133310,80.0
4644,45,2003-01-17,Cidade de Deus,3300000,7563397,,,
4645,46,2000-05-05,Human Traffic,3300000,104257,,,
4646,47,2006-12-29,The Dead Girl,3300000,19875,,,
4647,48,2015-01-20,The Opposite Sex,3300000,0,Comedy,tt2796678,97.0
4648,49,1983-11-18,A Christmas Story,3250000,20605209,,,
4649,50,1982-08-20,Class of 1984,3250000,6965361,,,
4650,51,2009-01-30,Entre les murs,3250000,3766810,,,
4651,52,1999-10-29,Dreaming of Joseph Lees,3250000,7680,,,
4652,53,1968-06-12,Rosemary's Baby,3200000,33395426,Comedy,tt4876464,48.0
4653,54,2018-07-06,Sorry to Bother You,3200000,17493096,"Comedy,Fantasy,Sci-Fi",tt5688932,111.0
4654,55,1962-04-22,The Man Who Shot Liberty Valance,3200000,8000000,,,
4655,56,2004-07-16,Maria Full of Grace,3200000,6529624,,,
4656,57,2011-06-03,Beginners,3200000,5790894,"Comedy,Drama,Romance",tt1532503,105.0
4657,58,2016-04-22,The Meddler,3200000,4267219,"Comedy,Drama,Romance",tt4501454,103.0
4658,59,2009-07-29,Adam,3200000,2283291,Drama,tt10199664,98.0
4659,60,2006-09-22,Feast,3200000,56131,Horror,tt4282670,
4660,61,1946-12-20,Itâs a Wonderful Life,3180000,6600000,,,
4661,62,1996-07-19,Trainspotting,3100000,16501785,,,
4662,63,2013-04-12,Antiviral,3100000,0,"Horror,Sci-Fi,Thriller",tt2099556,108.0
4663,64,1978-07-28,National Lampoon's Animal House,3000000,141600000,,,
4664,65,2010-10-20,Paranormal Activity 2,3000000,84752907,Horror,tt1536044,91.0
4665,66,2015-08-28,War Room,3000000,67790117,Drama,tt3832914,120.0
4666,67,2013-06-07,The Purge,3000000,64473115,"Horror,Thriller",tt2184339,85.0
4667,68,1964-12-22,Goldfinger,3000000,51100000,,,
4668,69,2012-10-12,Sinister,3000000,48086903,"Horror,Mystery,Thriller",tt1922777,110.0
4669,70,2000-08-18,The Original Kings of Comedy,3000000,38168022,,,
4670,71,1957-12-18,The Bridge on the River Kwai,3000000,33300000,,,
4671,72,1978-01-01,Coming Home,3000000,32653000,Documentary,tt2195830,61.0
4672,73,1998-11-20,Waking Ned Devine,3000000,24793251,,,
4673,74,1997-08-01,Air Bud,3000000,24646936,,,
4674,75,2002-10-11,Bowling for Columbine,3000000,21576018,,,
4675,76,1985-11-01,A Nightmare on Elm Street Part 2: Freddy's Revenge,3000000,21163999,,,
4676,77,1986-03-07,A Room with a View,3000000,20966644,,,
4677,78,1975-06-10,Love and Death,3000000,20123742,,,
4678,79,1986-08-01,Friday the 13th Part VI: Jason Lives,3000000,19472057,,,
4679,80,2002-08-02,Martin Lawrence Live: RunTelDat,3000000,19184820,,,
4680,81,1960-06-15,The Apartment,3000000,18600000,,,
4681,82,1958-09-20,Cat on a Hot Tin Roof,3000000,17570324,,,
4682,83,1970-05-26,Beneath the Planet of the Apes,3000000,17489009,,,
4683,84,2001-04-06,Pokemon 3: The Movie,3000000,17052128,,,
4684,85,1993-08-13,Jason Goes to Hell: The Final Friday,3000000,15935068,,,
4685,86,1990-04-27,Spaced Invaders,3000000,15000000,,,
4686,87,1976-04-09,Family Plot,3000000,13200000,,,
4687,88,1966-07-16,Torn Curtain,3000000,13000000,,,
4688,89,2018-06-01,Upgrade,3000000,11977130,"Action,Sci-Fi,Thriller",tt6499752,100.0
4689,90,2006-03-03,Dave Chappelle's Block Party,3000000,11718595,,,
4690,91,1985-10-25,Krush Groove,3000000,11052713,,,
4691,92,1960-07-07,Elmer Gantry,3000000,10400000,,,
4692,93,2009-05-08,Next Day Air,3000000,10027047,,,
4693,94,1961-12-19,Judgment at Nuremberg,3000000,10000000,,,
4694,95,1998-11-04,Belly,3000000,9639390,,,
4695,96,1999-05-12,Trippinâ,3000000,9017070,,,
4696,97,1948-08-26,Red River,3000000,9012000,Horror,tt1498568,77.0
